,w,w_mado
0,"[0.00387656 0.0139178  0.05798426 0.01740046 0.03496028 0.04221502
 0.01085653 0.08244502 0.02972206 0.00427029 0.0023465  0.01669111
 0.00314469 0.09395857 0.04249607 0.03135377 0.00964705 0.03156336
 0.01524015 0.06015284 0.02070309 0.01652935 0.00972683 0.00951091
 0.0175593  0.0347709  0.02746417 0.08646162 0.02126586 0.01966765
 0.00811292 0.03399151 0.04185628 0.00063981 0.04749742]",0.22664839540818046
1,"[0.00938699 0.01600968 0.00255154 0.03105584 0.060936   0.02422065
 0.06821764 0.03393696 0.00973897 0.0048874  0.04884257 0.01202963
 0.00480633 0.00372411 0.09947341 0.01845703 0.05570217 0.00445778
 0.05194202 0.02674527 0.03459067 0.03591305 0.00279735 0.05367329
 0.00452367 0.00320883 0.05077368 0.05966817 0.03974928 0.05135802
 0.01585632 0.0245276  0.00680947 0.02886489 0.00056369]",0.27721951999804395
2,"[0.00411939 0.01999224 0.03166229 0.0134671  0.01120648 0.0026346
 0.14541564 0.03379026 0.06392413 0.00129864 0.01061011 0.00082696
 0.00210855 0.00290749 0.01138194 0.03703732 0.00390044 0.10387887
 0.01181327 0.00906172 0.0178173  0.03474558 0.00892162 0.03846349
 0.04622914 0.01105573 0.0164926  0.03561032 0.00250948 0.00841227
 0.01796431 0.03035985 0.00488291 0.17771665 0.02778132]",0.12167440692073332
3,"[0.03382729 0.00253601 0.01656275 0.00059192 0.01302255 0.02957211
 0.02380184 0.02539643 0.05051465 0.01017627 0.0190534  0.07839667
 0.00418278 0.01199613 0.07857212 0.01199796 0.01184624 0.09606206
 0.01129067 0.05474678 0.00854865 0.03524378 0.06494569 0.01554408
 0.0147781  0.00513247 0.00079286 0.00468275 0.02211509 0.00494533
 0.17141079 0.00288079 0.04451983 0.00722326 0.01308992]",0.37654262115602377
4,"[3.65071071e-03 2.44979357e-02 2.64468382e-02 3.86183400e-03
 5.09463809e-02 1.45339716e-02 1.28513294e-02 4.37741230e-02
 6.44680918e-02 1.87340738e-02 3.57969948e-03 4.78325150e-03
 1.65370388e-02 2.12228422e-02 4.91620575e-02 3.05980468e-02
 8.51945693e-05 4.17583427e-02 1.10489946e-02 3.63420496e-02
 2.40978473e-02 1.77573469e-02 8.41473518e-03 3.46452033e-02
 4.62080609e-02 3.08891225e-02 1.05244764e-02 2.00366539e-02
 2.01876173e-02 8.56735800e-02 3.91178053e-02 3.92320510e-02
 1.01180717e-01 1.94759084e-02 2.36760674e-02]",0.09772904533504854
5,"[0.02494044 0.0677236  0.00402323 0.02031147 0.07808722 0.0179718
 0.01983559 0.00624314 0.01781854 0.08927233 0.00584281 0.06288878
 0.02943682 0.00639682 0.03047804 0.00400319 0.04540523 0.02309273
 0.02757165 0.00337612 0.02963789 0.00098242 0.01940865 0.07397754
 0.00684453 0.00482318 0.10616869 0.02176653 0.05768922 0.00232703
 0.0174276  0.00080629 0.01958541 0.03228002 0.02155546]",0.28957843982273695
6,"[0.01015953 0.10264885 0.00304147 0.0002013  0.0368606  0.0057891
 0.02242485 0.0381805  0.03214034 0.01856244 0.01952659 0.00947315
 0.03635426 0.00476104 0.00798361 0.01372071 0.05033734 0.00475588
 0.11542255 0.12389041 0.01063028 0.02316863 0.0373766  0.01158478
 0.00291463 0.00307214 0.0676348  0.03659623 0.00934227 0.02868103
 0.0156526  0.00100625 0.03570393 0.05374526 0.00665604]",0.2643530928036881
7,"[0.00460262 0.02141404 0.00504014 0.03480453 0.02016941 0.00444294
 0.00692601 0.01479173 0.06697487 0.01046185 0.03342739 0.00830963
 0.0593745  0.00047333 0.00861348 0.12082063 0.0305979  0.00852756
 0.00345419 0.01625284 0.05507425 0.00312076 0.00936895 0.00279901
 0.0694138  0.038221   0.05798499 0.03397531 0.09973397 0.0204928
 0.00172998 0.04755067 0.03526522 0.03669933 0.00909037]",0.29136593475088846
8,"[0.01029255 0.00176703 0.00501557 0.01522666 0.06481575 0.05610355
 0.03474064 0.05386099 0.00276461 0.0078879  0.00508825 0.02001297
 0.02164808 0.01976605 0.0015509  0.08461769 0.0389649  0.02354587
 0.0125327  0.0123356  0.01268052 0.01261129 0.0016699  0.05584159
 0.00486614 0.03010988 0.03317297 0.04079612 0.02381674 0.04949404
 0.07516135 0.03736097 0.04243435 0.05096538 0.03648052]",0.39390356830806356
9,"[0.00767351 0.01798888 0.02130529 0.00016603 0.01515247 0.01756435
 0.0422626  0.02126735 0.03328875 0.0155948  0.04636125 0.00430756
 0.00034377 0.07814484 0.05648475 0.01346679 0.06587767 0.06198769
 0.00306961 0.01485389 0.01126082 0.05124265 0.01284132 0.02146299
 0.01612618 0.00307128 0.03577501 0.01562951 0.08653859 0.00457661
 0.06218848 0.04084095 0.00012761 0.05347145 0.04768475]",0.23578594902795472
