,w,w_mado
0,[0.81668592 0.18331408],0.056559309847162266
1,[0.16889114 0.83110886],0.0232530802004576
2,[0.57152262 0.42847738],0.16175236181835137
3,[0.110379 0.889621],0.1445560465631793
4,[0.64185627 0.35814373],0.1225852887927082
5,[0.07083643 0.92916357],0.4250160340832893
6,[0.16243333 0.83756667],0.13588731486004957
7,[0.02327576 0.97672424],0.04071514429336768
8,[0.86782128 0.13217872],0.05511399414522713
9,[0.04301072 0.95698928],0.25482538340111177
10,[0.12384521 0.19056118 0.68559361],0.0311038204288018
11,[0.41000574 0.33802358 0.25197068],0.1263623932867658
12,[0.14552583 0.74972279 0.10475138],0.019179659338735652
13,[0.55951863 0.27254651 0.16793486],0.1332551344292825
14,[0.63933387 0.28935096 0.07131517],0.08579301686185273
15,[0.06788188 0.00292538 0.92919274],0.2527636642218362
16,[0.3199751  0.04383491 0.63618999],0.08365911143141438
17,[0.7886617  0.01751955 0.19381875],0.06886983806556346
18,[0.07397095 0.85887233 0.06715673],0.3921538333808759
19,[0.50579117 0.29430325 0.19990558],0.0990143960789395
